customer_id,full_name,email,phone_number,region,created_at
1,Ryan Burns,,,Mississippi,2024-05-20
2,Amanda Ball,pgarcia@evans.info,517-133-9596x292,Indiana,2024-12-16
3,Anthony Bell,mariopadilla@yahoo.com,001-481-260-4223,Georgia,2024-09-28
4,David Bridges,othomas@yahoo.com,+1-667-116-8457x7590,Wyoming,2025-01-12
5,Monica Ellis,flynnraymond@yahoo.com,745.458.9297,Michigan,2025-02-17
6,Amber Garcia,martinezmia@yahoo.com,063.242.4154x152,Arkansas,2024-01-27
7,Molly Fischer,padillaaaron@yahoo.com,293-870-0516,Vermont,2023-07-06
8,Darryl Davis,edwardsnicole@reyes.com,890-927-5326,South Carolina,2024-09-09
9,Daniel Mosley,lawrencepatrick@edwards-taylor.com,+1-138-999-4043x8983,West Virginia,2024-01-24
10,Anthony Hurst,pcruz@little-jones.com,,Alabama,2023-10-15
11,Thomas Fry,courtney86@yahoo.com,001-618-892-4141x832,Ohio,2023-12-04
12,Mark Davenport,holly30@miller.com,990.421.0202x758,North Dakota,2024-11-23
13,Deanna Watson,wiseanthony@yahoo.com,814-917-7850x792,Mississippi,2023-07-26
14,Brian Berry,joycesmith@sanchez.com,(220)863-5365x4195,Delaware,2024-04-18
15,Amy Walker,djones@ayala-collins.com,+1-705-349-4937,Mississippi,2024-06-27
16,Yolanda Parsons,adamortiz@weaver.com,064-138-3670x24103,North Dakota,2024-02-09
17,Jacqueline Villegas,wagnerdana@jones-bradley.biz,+1-234-456-5574x31329,Connecticut,2023-07-24
18,Jerry Edwards,tami37@ford-phelps.com,(490)352-1356,North Carolina,2023-05-03
19,Debbie Ewing,jbond@pierce.com,003-236-5199,Kentucky,2025-03-07
20,Alison Brown,christopherboone@yahoo.com,070-296-6706,Utah,2024-02-20
21,Daniel Lopez,cstephenson@hotmail.com,+1-934-768-7014x626,Illinois,2024-08-06
22,Kelly Mccoy,wcasey@stephens-washington.org,564.205.9304x07859,Iowa,2023-07-27
